"ID_building","price_m2","easting","northing","ID_cadas_com","floors_total","floor_entrance","year_built","year_ren_roof","year_ren_face","constr_type","elevator","house_type","no_appart","trans_date","floor_appartment","postion_type","duplex","living_area","total_area","year_ren_wind","year_ren_inst","floor_above_ground","dist_airport","dist_public_transport","elevation","dist_schools","dist_highway_entr","dist_highway","dist_railway","dist_recreation","dist_main_roads","dist_regional_roads","dist_river","construct_age","roof_age","facade_age","inst_age","windows_age"
1,2442,460211,103901,"1738",11,2,1969-10-13,1969-10-13,1969-10-13,"2","1","3",72,2010-12-03,7,"3","0",47.1,49.6,2000-10-13,1969-10-13,7,16676.9296875,200,307,300,100,0,447.213592529297,1360.14709472656,0,2884.44091796875,1216.55249023438,15026,15026,15026,15026,3703
2,2171,465652.48,101372.36,"1730",6,1,1981-10-13,1981-10-13,1981-10-13,"5","0","1",39,2010-03-25,2,"3","0",78.3,90,1981-10-13,1981-10-13,2,20342.3203125,0,287,500,1392.8388671875,1360.14709472656,141.421356201172,1389.24438476562,0,1600,223.606796264648,10390,10390,10390,10390,10390
3,2434,460781.84,102936.78,"1739",10,1,1964-10-13,2003-10-13,1964-10-13,"2","1","4",51,2011-09-16,6,"3","0",48.9,57.4,2005-10-13,1964-10-13,6,17736.966796875,100,302,200,1252.99645996094,1166.1904296875,538.516479492188,500,100,3310.58911132812,1403.56689453125,17139,2895,17139,17139,2164
4,2426,465172.78,101027.73,"1732",6,1,1976-10-13,1976-10-13,1976-10-13,"5","0","4",20,2009-06-12,2,"2","0",37.1,38.8,2005-10-13,1976-10-13,2,20586.646484375,223.606796264648,285,200,1923.53845214844,1878.82946777344,670.820373535156,854.400390625,400,2039.60778808594,282.842712402344,11930,11930,11930,11930,1338
5,2226,462332.03,101504.82,"1737",7,1,1929-10-13,2011-10-13,2011-10-13,"1","1","4",27,2010-08-24,4,"3","0",141.5,160.6,2005-10-13,1929-10-13,4,19356.91015625,141.421356201172,298,300,3026.54907226562,2952.96459960938,200,900,100,3138.47094726562,509.901947021484,29535,29535,29535,29535,1776
6,2396,458945.91,103896.71,"1738",5,1,1973-10-13,1997-10-13,2010-10-13,"5","0","3",18,2010-11-25,1,"3","0",48,55.8,1973-10-13,1973-10-13,1,16602.7109375,509.901947021484,312,200,500,300,1500,1431.78210449219,1166.1904296875,2418.67724609375,0,13557,4791,43,13557,13557
7,1716,463598.65,102499.83,"2636",7,1,1957-10-13,2003-10-13,1957-10-13,"1","0","1",10,2011-12-21,1,"3","0",64.1,68.6,1957-10-13,1957-10-13,1,18681.541015625,200,297,300,1711.72424316406,1523.15466308594,800,1824.82873535156,0,1726.26770019531,1300,19792,2991,19792,19792,19792
8,2421,459503.55,103340.23,"1739",6,1,1978-10-13,1978-10-13,1978-10-13,"2","0","1",48,2009-11-26,4,"3","0",57,63.1,2004-10-13,1978-10-13,4,17223.53125,316.227752685547,304,200,509.901947021484,316.227752685547,1360.14709472656,761.577331542969,894.427185058594,3132.09204101562,509.901947021484,11367,11367,11367,11367,1870
9,2486,459022.31,103884.84,"1738",5,1,1974-10-13,1989-10-13,1974-10-13,"2","0","3",76,2010-04-24,1,"3","0",70.4,75.9,1974-10-13,1974-10-13,1,16604.818359375,412.310577392578,311,100,509.901947021484,316.227752685547,1421.26708984375,1414.21362304688,1077.03295898438,2433.10498046875,100,12977,7498,12977,12977,12977
10,2467,459489.2,105382.11,"1754",6,1,1965-10-13,1965-10-13,1965-10-13,"1","0","1",164,2012-02-06,1,"3","0",30.4,40.4,1965-10-13,2002-10-13,1,15126.7978515625,100,313,500,921.954467773438,761.577331542969,141.421356201172,2816.02563476562,100,1272.79223632812,943.398132324219,16917,16917,16917,3403,16917
