id_building,price_m2,easting,northing,id_cadas_com,floors_total,floor_entrance,year_built,year_ren_roof,year_ren_face,constr_type,elevator,house_type,no_appart,trans_date,floor_appartment,postion_type,duplex,living_area,total_area,year_ren_wind,year_ren_inst,floor_above_ground,dist_airport,dist_public_transport,elevation,dist_schools,dist_highway_entr,dist_highway,dist_railway,dist_recreation,dist_main_roads,dist_regional_roads,dist_river,construct_age,roof_age,facade_age,inst_age,windows_age
1,2442,460211,103901,1738,11,2,1969-10-13,1969-10-13,1969-10-13,concrete,1,raw,72,2010-12-03,7,floor,0,47.1,49.6,2000-10-13,1969-10-13,7,16676.92969,200,307,300,100,0,447.2135925,1360.147095,0,2884.440918,1216.55249,15026,15026,15026,15026,3703
2,2171,465652.48,101372.36,1730,6,1,1981-10-13,1981-10-13,1981-10-13,combination_of_different_materials,0,single,39,2010-03-25,2,floor,0,78.3,90,1981-10-13,1981-10-13,2,20342.32031,0,287,500,1392.838867,1360.147095,141.4213562,1389.244385,0,1600,223.6067963,10390,10390,10390,10390,10390
3,2434,460781.84,102936.78,1739,10,1,1964-10-13,2003-10-13,1964-10-13,concrete,1,other,51,2011-09-16,6,floor,0,48.9,57.4,2005-10-13,1964-10-13,6,17736.9668,100,302,200,1252.99646,1166.19043,538.5164795,500,100,3310.589111,1403.566895,17139,2895,17139,17139,2164
4,2426,465172.78,101027.73,1732,6,1,1976-10-13,1976-10-13,1976-10-13,combination_of_different_materials,0,other,20,2009-06-12,2,ground_floor,0,37.1,38.8,2005-10-13,1976-10-13,2,20586.64648,223.6067963,285,200,1923.538452,1878.829468,670.8203735,854.4003906,400,2039.607788,282.8427124,11930,11930,11930,11930,1338
5,2226,462332.03,101504.82,1737,7,1,1929-10-13,2011-10-13,2011-10-13,brick,1,other,27,2010-08-24,4,floor,0,141.5,160.6,2005-10-13,1929-10-13,4,19356.91016,141.4213562,298,300,3026.549072,2952.9646,200,900,100,3138.470947,509.901947,29535,29535,29535,29535,1776
6,2396,458945.91,103896.71,1738,5,1,1973-10-13,1997-10-13,2010-10-13,combination_of_different_materials,0,raw,18,2010-11-25,1,floor,0,48,55.8,1973-10-13,1973-10-13,1,16602.71094,509.901947,312,200,500,300,1500,1431.782104,1166.19043,2418.677246,0,13557,4791,43,13557,13557
7,1716,463598.65,102499.83,2636,7,1,1957-10-13,2003-10-13,1957-10-13,brick,0,single,10,2011-12-21,1,floor,0,64.1,68.6,1957-10-13,1957-10-13,1,18681.54102,200,297,300,1711.724243,1523.154663,800,1824.828735,0,1726.2677,1300,19792,2991,19792,19792,19792
8,2421,459503.55,103340.23,1739,6,1,1978-10-13,1978-10-13,1978-10-13,concrete,0,single,48,2009-11-26,4,floor,0,57,63.1,2004-10-13,1978-10-13,4,17223.53125,316.2277527,304,200,509.901947,316.2277527,1360.147095,761.5773315,894.4271851,3132.092041,509.901947,11367,11367,11367,11367,1870
9,2486,459022.31,103884.84,1738,5,1,1974-10-13,1989-10-13,1974-10-13,concrete,0,raw,76,2010-04-24,1,floor,0,70.4,75.9,1974-10-13,1974-10-13,1,16604.81836,412.3105774,311,100,509.901947,316.2277527,1421.26709,1414.213623,1077.032959,2433.10498,100,12977,7498,12977,12977,12977
10,2467,459489.2,105382.11,1754,6,1,1965-10-13,1965-10-13,1965-10-13,brick,0,single,164,2012-02-06,1,floor,0,30.4,40.4,1965-10-13,2002-10-13,1,15126.79785,100,313,500,921.9544678,761.5773315,141.4213562,2816.025635,100,1272.792236,943.3981323,16917,16917,16917,3403,16917
11,1803,466628.36,101111,1772,15,2,1986-10-13,1986-10-13,1986-10-13,concrete,1,single,348,2013-01-25,11,floor,0,63.8,74.2,1986-10-13,1986-10-13,11,20984.75586,141.4213562,282,300,824.6211548,707.1068115,538.5164795,1581.138794,200,1421.26709,316.2277527,9601,9601,9601,9601,9601
12,1639,466709.78,101113.1,1772,6,1,1986-10-13,1986-10-13,1986-10-13,concrete,0,single,28,2010-01-15,2,ground_floor,0,73.2,83.6,1986-10-13,1986-10-13,2,21023.08203,100,281,400,728.0109863,608.2762451,583.0952148,1640.121948,200,1360.147095,300,8495,8495,8495,8495,8495
13,1753,463666.45,102471.03,2636,16,1,1958-10-13,1958-10-13,1958-10-13,brick,1,single,93,2009-10-16,2,ground_floor,0,65.6,75.5,1958-10-13,1958-10-13,2,18681.54102,200,297,300,1711.724243,1523.154663,800,1824.828735,0,1726.2677,1300,18631,18631,18631,18631,18631
14,1770,466140.22,101066.04,1730,14,1,1985-10-13,1985-10-13,1985-10-13,concrete,1,single,139,2010-09-28,1,floor,0,66.4,73.7,1985-10-13,1985-10-13,1,20799.2793,223.6067963,283,100,1315.294678,1204.159424,400,1360.147095,300,1780.449341,200,9116,9116,9116,9116,9116
15,2665,462896.53,102270.52,2636,9,3,1988-10-13,1988-10-13,1988-10-13,combination_of_different_materials,1,other,58,2009-10-29,4,floor,0,71.3,80.2,1988-10-13,1988-10-13,4,18701.07031,100,299,200,2102.379639,1969.771606,600,1802.775635,141.4213562,2147.091064,1334.166382,7686,7686,7686,7686,7686
16,1889,463036.41,103765.16,1736,5,1,1977-10-13,1999-10-13,1977-10-13,concrete,0,single,27,2010-12-29,1,floor,0,74.1,79.4,1977-10-13,1977-10-13,1,17269.91602,400,301,100,761.5773315,600,1004.987549,1252.99646,360.5551147,943.3981323,1300,12130,4095,12130,12130,12130
17,2057,466147,101151,1730,15,2,1985-10-13,1985-10-13,1985-10-13,concrete,1,single,252,2010-07-30,10,floor,0,80.7,87.3,1985-10-13,1985-10-13,10,20799.2793,223.6067963,283,100,1315.294678,1204.159424,400,1360.147095,300,1780.449341,200,9056,9056,9056,9056,9056
18,969,465591.47,108443.17,1961,3,1,1997-10-13,1997-10-13,1997-10-13,brick,0,single,55,2012-11-20,2,floor,1,42.1,42.1,1997-10-13,1997-10-13,2,13978.91309,1746.424927,294,1500,4177.319824,3827.531738,0,3275.667969,1676.30542,0,0,5517,5517,5517,5517,5517
